f1,f2,Class
-20.0,11.468525476720961,0.0
-19.183673469387756,10.043945248881831,0.0
-18.367346938775512,11.266318479737997,0.0
-17.551020408163264,14.18856390638084,0.0
-16.73469387755102,14.038780136211166,0.0
-15.918367346938776,11.912838292124906,0.0
-15.10204081632653,12.153398571009628,0.0
-14.285714285714285,10.912937068180186,0.0
-13.46938775510204,11.584370675646149,0.0
-12.653061224489797,12.086842303794864,0.0
-11.83673469387755,10.332341850779384,0.0
-11.020408163265305,11.689437030035151,0.0
-10.204081632653061,12.478356434651095,0.0
-9.387755102040817,10.033606629272438,0.0
-8.571428571428571,12.190375991580478,0.0
-7.755102040816325,11.093445461488361,0.0
-6.938775510204081,11.06699469257601,0.0
-6.122448979591837,11.246194725171042,0.0
-5.3061224489795915,10.641628642256027,0.0
-4.489795918367346,14.724066444349665,0.0
-3.6734693877551017,10.845373621790076,0.0
-2.8571428571428577,12.838062708484008,0.0
-2.04081632653061,10.857536993629562,0.0
-1.224489795918366,11.304589794805947,0.0
-0.408163265306122,13.383875273037537,0.0
0.408163265306122,12.516328439849017,0.0
1.224489795918366,10.786439411427688,0.0
2.0408163265306136,10.412533642390406,0.0
2.8571428571428577,14.409469566600272,0.0
3.6734693877551017,11.209456026977746,0.0
4.489795918367349,14.794867877383345,0.0
5.306122448979593,14.461820497277497,0.0
6.122448979591837,10.799888143049975,0.0
6.938775510204081,12.518527558445767,0.0
7.755102040816325,10.59460185510603,0.0
8.571428571428573,10.554190397400527,0.0
9.387755102040817,13.481478866643426,0.0
10.204081632653061,11.357752515671294,0.0
11.020408163265309,14.831940907860442,0.0
11.836734693877553,14.196229652873424,0.0
12.653061224489797,10.462601128785192,0.0
13.46938775510204,11.952786787446241,0.0
14.285714285714285,10.621086690293346,0.0
15.102040816326529,12.776961193535453,0.0
15.91836734693878,10.81052508213515,0.0
16.734693877551024,14.158834883963584,0.0
17.551020408163268,11.28847423436245,0.0
18.367346938775512,12.552832785710347,0.0
19.183673469387756,13.912268985742328,0.0
20.0,12.69169429871798,0.0
-20.0,12.644117099448353,0.0
-19.183673469387756,14.27420045262492,0.0
-18.367346938775512,11.225502066723713,0.0
-17.551020408163264,10.635499906800234,0.0
-16.73469387755102,12.80122360518325,0.0
-15.918367346938776,10.641899561967175,0.0
-15.10204081632653,11.65578719511866,0.0
-14.285714285714285,11.632199141023731,0.0
-13.46938775510204,14.740222527477172,0.0
-12.653061224489797,11.879571461967927,0.0
-11.83673469387755,12.34555268361011,0.0
-11.020408163265305,14.736711267296803,0.0
-10.204081632653061,14.141901928247707,0.0
-9.387755102040817,13.359999679209135,0.0
-8.571428571428571,11.336556432595765,0.0
-7.755102040816325,10.666324476499637,0.0
-6.938775510204081,11.669813477870484,0.0
-6.122448979591837,10.799100506577188,0.0
-5.3061224489795915,14.802000111100718,0.0
